# firmware fan curve, FRANMGCP09, EC lilac-4.0.2-fdbf549, 2026-09-18T14:39:47-06:00
# heat 100s on 24 threads, then cool 120s; 2s per row
phase    t_s   local_f75303@4d     cpu_f75303@4d     ddr_f75303@4d            cpu@4c      k10temp:Tctl    fan_in    target
start       0              41.9              45.9              37.9              47.9              48.0         0         0
heat        2              41.9              45.9              37.9              67.8              69.4         0         0
heat        4              41.9              46.9              37.9              73.8              74.6         0         0
heat        6              42.9              49.9              37.9              72.8              73.1         0         0
heat        8              42.9              53.9              37.9              71.8              72.5      1807      2928
heat       10              43.9              54.9              37.9              72.8              73.4      2943      3135
heat       12              44.9              55.9              37.9              73.8              74.4      3212      3342
heat       14              44.9              56.9              37.9              74.8              75.5      3276      3549
heat       16              45.9              57.9              37.9              75.8              76.8      3587      3797
heat       18              46.9              58.9              37.9              76.8              77.6      3825      4005
heat       20              46.9              60.9              37.9              77.8              78.4      4448      4419
heat       22              47.9              61.9              37.9              77.8              79.0      4572      4667
heat       24              48.9              62.9              37.9              78.8              79.8      4636      4874
heat       26              48.9              64.8              36.9              79.8              80.2      4890      5288
heat       28              48.9              64.8              37.9              79.8              80.5      5431      5288
heat       30              49.9              65.8              37.9              79.8              80.9      5401      5537
heat       32              50.9              65.8              37.9              80.8              81.1      5461      5537
heat       34              50.9              66.8              37.9              80.8              81.5      5682      5744
heat       36              51.9              67.8              37.9              80.8              81.9      5921      5951
heat       38              50.9              67.8              37.9              81.8              82.1      5886      5951
heat       40              51.9              68.8              37.9              81.8              82.1      6144      6200
heat       42              51.9              68.8              37.9              81.8              82.5      6221      6200
heat       44              52.9              69.8              37.9              81.8              82.6      6182      6200
heat       46              52.9              69.8              37.9              81.8              82.9      6221      6200
heat       48              53.9              70.8              37.9              82.8              83.0      6182      6200
heat       50              53.9              70.8              37.9              82.8              83.1      6221      6200
heat       52              53.9              70.8              37.9              82.8              83.1      6221      6200
heat       54              53.9              71.8              37.9              82.8              83.5      6182      6200
heat       56              53.9              71.8              37.9              82.8              83.9      6182      6200
heat       58              54.9              72.8              37.9              82.8              84.0      6261      6200
heat       60              54.9              72.8              37.9              83.8              83.9      6182      6200
heat       62              54.9              72.8              37.9              82.8              83.9      6221      6200
heat       64              55.9              72.8              37.9              82.8              83.9      6261      6200
heat       66              55.9              73.8              37.9              82.8              83.8      6261      6200
heat       68              55.9              73.8              37.9              82.8              83.6      6182      6200
heat       70              55.9              73.8              38.9              82.8              83.5      6221      6200
heat       72              55.9              73.8              37.9              82.8              83.4      6261      6200
heat       74              55.9              73.8              38.9              82.8              83.1      6301      6200
heat       76              55.9              73.8              38.9              82.8              82.9      6261      6200
heat       78              55.9              73.8              38.9              81.8              82.6      6301      6200
heat       80              56.9              73.8              38.9              81.8              82.2      6301      6200
heat       82              56.9              73.8              38.9              81.8              82.0      6301      6200
heat       84              56.9              73.8              38.9              80.8              81.8      6261      6200
heat       86              56.9              73.8              38.9              80.8              81.5      6221      6200
heat       88              56.9              73.8              38.9              80.8              81.4      6261      6200
heat       90              56.9              73.8              38.9              80.8              81.2      6221      6200
heat       92              56.9              73.8              38.9              80.8              81.0      6261      6200
heat       94              56.9              73.8              38.9              79.8              80.9      6221      6200
heat       96              57.9              73.8              38.9              79.8              80.8      6261      6200
heat       98              56.9              72.8              38.9              77.8              77.1      6221      6200
heat      100              56.9              72.8              38.9              72.8              72.2      6261      6200
cool        2              56.9              71.8              38.9              68.8              69.2      6221      6200
cool        4              56.9              70.8              38.9              66.8              67.2      6221      6200
cool        6              55.9              69.8              38.9              64.8              65.8      6221      6200
cool        8              55.9              68.8              38.9              63.9              64.2      6301      6200
cool       10              55.9              67.8              38.9              62.9              63.0      6261      5951
cool       12              54.9              66.8              39.9              67.8              69.9      5994      5744
cool       14              54.9              65.8              39.9              69.8              71.0      5816      5537
cool       16              53.9              64.8              39.9              71.8              70.9      5585      5288
cool       18              53.9              63.9              39.9              65.8              65.9      5313      5081
cool       20              53.9              62.9              39.9              64.8              65.1      5173      4874
cool       22              53.9              61.9              39.9              63.9              64.9      4866      4667
cool       24              53.9              61.9              39.9              67.8              68.1      4681      4667
cool       26              52.9              60.9              39.9              65.8              66.9      4428      4419
cool       28              52.9              59.9              39.9              66.8              66.6      4237      4212
cool       30              52.9              59.9              39.9              62.9              63.0      4201      4212
cool       32              52.9              59.9              39.9              59.9              60.8      4219      4212
cool       34              51.9              58.9              39.9              58.9              59.4      4201      4005
cool       36              51.9              58.9              39.9              57.9              58.2      3996      4005
cool       38              51.9              58.9              39.9              56.9              57.5      4028      4005
cool       40              50.9              57.9              39.9              56.9              57.0      3855      3797
cool       42              50.9              56.9              39.9              55.9              56.5      3485      3549
cool       44              50.9              56.9              39.9              55.9              55.9      3536      3549
cool       46              50.9              55.9              40.9              54.9              55.4      3510      3342
cool       48              49.9              55.9              39.9              54.9              55.0      3343      3342
cool       50              49.9              54.9              39.9              53.9              54.6      3081      3135
cool       52              49.9              54.9              39.9              53.9              54.4      3120      3135
cool       54              48.9              53.9              40.9              53.9              54.0      3130      2928
cool       56              48.9              53.9              40.9              52.9              54.4      2925      2928
cool       58              48.9              53.9              40.9              57.9              62.5      2917      2928
cool       60              48.9              53.9              40.9              57.9              57.5      2908      2928
cool       62              48.9              53.9              40.9              55.9              55.5      2925      2928
cool       64              48.9              53.9              40.9              54.9              54.9      2925      2928
cool       66              48.9              53.9              40.9              53.9              54.2      2925      2928
cool       68              48.9              52.9              40.9              53.9              53.9      2917      2679
cool       70              48.9              52.9              40.9              52.9              53.6      2642      2679
cool       72              47.9              52.9              40.9              52.9              54.0      2708      2679
cool       74              47.9              52.9              40.9              52.9              53.6      2708      2679
cool       76              47.9              51.9              40.9              52.9              53.9      2463      2472
cool       78              47.9              51.9              40.9              52.9              53.6      2457      2472
cool       80              47.9              51.9              40.9              52.9              53.4      2457      2472
cool       82              47.9              51.9              40.9              52.9              53.4      2463      2472
cool       84              47.9              51.9              40.9              52.9              53.2      2469      2472
cool       86              47.9              51.9              40.9              52.9              53.0      2469      2472
cool       88              47.9              51.9              40.9              51.9              52.8      2463      2472
cool       90              46.9              51.9              40.9              51.9              52.6      2451      2472
cool       92              47.9              51.9              40.9              51.9              52.6      2469      2472
cool       94              47.9              51.9              40.9              51.9              52.8      2457      2472
cool       96              46.9              50.9              40.9              51.9              52.5      2291      2265
cool       98              46.9              50.9              40.9              51.9              52.2      2249      2265
cool      100              46.9              50.9              40.9              51.9              51.9      2244      2265
cool      102              46.9              50.9              40.9              50.9              51.8      2244      2265
cool      104              46.9              50.9              40.9              50.9              51.5      2239      2265
cool      106              46.9              49.9              40.9              50.9              51.4      2249         0
cool      108              46.9              49.9              40.9              50.9              51.4         0         0
cool      110              46.9              49.9              40.9              50.9              51.2         0         0
cool      112              46.9              49.9              40.9              50.9              51.1         0         0
cool      114              46.9              49.9              40.9              50.9              51.0         0         0
cool      116              45.9              49.9              40.9              50.9              51.0         0         0
cool      118              46.9              49.9              40.9              50.9              51.0         0         0
cool      120              46.9              49.9              40.9              49.9              50.9         0         0
